
 | 5.0 MeV | 3053.2779147460938 | 119.0224435713630 | 3043.79797363281 |
 | 5.5 MeV | 3096.8738421997070 | 131.1891932536720 | 3085.92919921875 |
 | 6.0 MeV | 3130.0983880126955 | 117.2279048731416 | 3120.88232421875 |
 | 6.5 MeV | 3174.2206700439450 | 196.4050307546331 | 3159.87475585938 |
 | 7.0 MeV | 3213.0806846586190 | 224.9843666929084 | 3197.07763671875 |
 | 7.5 MeV | 3244.5066735687255 | 117.0806561686724 | 3236.57189941406 |
 | 8.0 MeV | 3288.4182681435030 | 164.8671722955768 | 3271.68823242188 |
 | 8.5 MeV | 3325.3579055097025 | 186.1139516795497 | 3308.35266113281 |
 | 9.0 MeV | 3359.5598594307100 | 254.8618364200632 | 3341.71447753906 |
 | 9.5 MeV | 3398.8600267333986 | 291.1159093927925 | 3377.80981445313 |
 | 10. MeV | 3421.2255371093750 | 114.4899863732604 | 3410.70178222656 |
